Model,Accuracy,F1 Score,ROC-AUC,Precision,Recall
XGB Tuned,0.917,0.8687,0.9767,0.8592,0.8784
XGBoost,0.908,0.8547,0.9721,0.844,0.8656
Gradient Boosting,0.8995,0.8411,0.9657,0.8313,0.8512
RF Tuned,0.8755,0.7951,0.9516,0.8186,0.7728
Random Forest,0.8785,0.7983,0.9511,0.8293,0.7696
AdaBoost,0.876,0.8022,0.9493,0.7997,0.8048
Logistic Regression,0.8425,0.7328,0.9167,0.7798,0.6912
Naive Bayes,0.7645,0.5929,0.8338,0.6447,0.5488
Decision Tree,0.842,0.7484,0.8175,0.7448,0.752
KNN,0.7775,0.5966,0.8075,0.6883,0.5264
